ite,policy_name,devices,category,num_of_completed_tasks(ALL),num_of_failed_tasks(ALL),num_of_uncompleted_tasks(ALL),num_of_failed_tasks_due_network,average_service_time(ALL),average_processing_time(ALL),average_network_delay(ALL),average_cost,unknown1,num_of_failed_tasks_due_vm_capacity(ALL),num_of_failed_tasks_due_mobility,unknown2,unknown3,unknown4,num_of_completed_tasks(Edge),num_of_failed_tasks(Edge),num_of_uncompleted_tasks(Edge),unknown5,average_service_time(Edge),average_processing_time(Edge),unknown6,average_server_utilization(Edge),num_of_failed_tasks_due_vm_capacity(Edge),unknown7,unknown8,unknown9,unknown10,unknown11,unknown12,unknown13,unknown14,unknown15,num_of_completed_tasks(Mobile),num_of_failed_tasks(Mobile),num_of_uncompleted_tasks(Mobile),unknown16,average_service_time(Mobile),average_processing_time(Mobile),unknown17,average_server_utilization(Mobile),num_of_failed_tasks_due_vm_capacity(Mobile),average_network_delay(LAN_delay),unknown18,unknown19,unknown20,num_of_failed_tasks_due_network(WLAN),num_of_failed_tasks_due_network(MAN),num_of_failed_tasks_due_network(WAN),num_of_failed_tasks_due_network(GSM),unknown21,average_overhead(ns)
ite1,EDGE_UTIL_HEURISTIC,200,ALL_APPS_GENERIC,46785,8859,368,7799,10.368236491848075,1.7910426211117627,8.577193870736362,0.0,0.0,0,1060,0.0,0.0,0,46785,8859,305,0,10.368236491848075,1.7910426211117627,0.0,7.698076923076925,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,63,0,0.0,0.0,0.0,0.0,0,8.577193870736362,0.0,0.0,0.0,7799,0,0,0,60,349.8463266479764
ite1,EDGE_UTIL_HEURISTIC,400,ALL_APPS_GENERIC,77515,48528,819,44964,14.42259463002478,2.418438424837902,12.14992711686441,0.0,0.0,15,3549,0.0,0.0,0,76585,48513,638,0,14.496401056133916,2.3464739392695013,0.0,20.366137123745816,0,0,0,0,0,0.0,0.0,0.0,0.0,0,930,15,181,0,8.344675120811914,8.344675120811914,0.0,0.39291806020066916,15,12.14992711686441,0.0,0.0,0.0,44964,0,0,0,352,699.8752885919885
ite1,EDGE_UTIL_HEURISTIC,600,ALL_APPS_GENERIC,89154,98933,1408,92177,19.359928706342814,5.180365456347651,17.08076883152593,0.0,0.0,435,6321,0.0,0.0,0,74011,98498,1082,0,21.643947514142713,4.563178682616745,0.0,46.625585284280916,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15143,435,326,0,8.196849000598979,8.196849000598979,0.0,3.5594202898550695,435,17.08076883152593,0.0,0.0,0.0,92177,0,0,0,1027,985.5776688447368
ite1,EDGE_UTIL_HEURISTIC,800,ALL_APPS_GENERIC,121934,127209,1642,118017,17.767086238152316,7.318396644275289,16.647944138036568,0.0,0.0,2291,6901,0.0,0.0,0,76529,124918,1151,0,22.990197211889342,6.342253073852808,0.0,66.24828595317727,0,0,0,0,0,0.0,0.0,0.0,0.0,0,45405,2291,491,0,8.963662392559876,8.963662392559876,0.0,8.521797658862875,2291,16.647944138036568,0.0,0.0,0.0,118017,0,0,0,2435,1877.0878451331164
ite1,EDGE_UTIL_HEURISTIC,1000,ALL_APPS_GENERIC,148857,164090,1761,153881,15.653179605680412,7.252379329813362,15.436587170284497,0.0,0.0,3234,6975,0.0,0.0,0,81010,160856,1244,0,21.999657042053883,6.563069871769445,0.0,72.42303511705688,0,0,0,0,0,0.0,0.0,0.0,0.0,0,67847,3234,517,0,8.075421751676359,8.075421751676359,0.0,9.062193979933111,3234,15.436587170284497,0.0,0.0,0.0,153881,0,0,0,4095,2585.1368442579733
ite1,EDGE_UTIL_HEURISTIC,1200,ALL_APPS_GENERIC,180373,187765,2128,171161,16.20786406858891,9.214631763224324,18.07511951703115,0.0,0.0,9281,7323,0.0,0.0,0,69786,178484,1310,0,26.40693670017212,8.33181718314092,0.0,82.22842809364552,0,0,0,0,0,0.0,0.0,0.0,0.0,0,110587,9281,818,0,9.771732491932951,9.771732491932951,0.0,15.13564102564104,9281,18.07511951703115,0.0,0.0,0.0,171161,0,0,0,5391,2707.9873145396564
ite1,EDGE_UTIL_HEURISTIC,1400,ALL_APPS_GENERIC,210870,225065,2402,206536,14.778249373062764,8.797249107012718,17.530245689095636,0.0,0.0,11262,7267,0.0,0.0,0,71945,213803,1373,0,25.754518967640863,8.224273278545216,0.0,84.00618729096989,0,0,0,0,0,0.0,0.0,0.0,0.0,0,138925,11262,1029,0,9.093975729140462,9.093975729140462,0.0,14.924089823220248,11262,17.530245689095636,0.0,0.0,0.0,206536,0,0,0,7503,2651.300177778797
ite1,EDGE_UTIL_HEURISTIC,1600,ALL_APPS_GENERIC,251540,248602,2362,224968,13.965837473208582,8.967595405633267,17.565354443918416,0.0,0.0,16469,7165,0.0,0.0,0,71576,232133,1354,0,25.927708878563813,8.362354434645338,0.0,85.46463210702339,0,0,0,0,0,0.0,0.0,0.0,0.0,0,179964,16469,1008,0,9.208314259067489,9.208314259067489,0.0,17.119439799331097,16469,17.565354443918416,0.0,0.0,0.0,224968,0,0,0,11291,3865.0492180220817
ite1,EDGE_UTIL_HEURISTIC,1800,ALL_APPS_GENERIC,306575,262188,2987,230909,13.026873234282068,8.948771684601654,16.29343284627547,0.0,0.0,23404,7875,0.0,0.0,0,76733,238784,1422,0,24.69574255119487,8.402309704919373,0.0,87.19841137123743,0,0,0,0,0,0.0,0.0,0.0,0.0,0,229842,23404,1565,0,9.131208606865451,9.131208606865451,0.0,18.855282422891104,23404,16.29343284627547,0.0,0.0,0.0,230909,0,0,0,14446,3159.0403876482824
ite1,EDGE_UTIL_HEURISTIC,2000,ALL_APPS_GENERIC,324610,309101,2908,276542,12.749181681715427,8.927763174373757,17.281082467306447,0.0,0.0,25019,7540,0.0,0.0,0,71782,284082,1363,0,25.663444782588602,8.382362315282167,0.0,87.16914715719068,0,0,0,0,0,0.0,0.0,0.0,0.0,0,252828,25019,1545,0,9.082611389236515,9.082611389236515,0.0,18.59479598662208,25019,17.281082467306447,0.0,0.0,0.0,276542,0,0,0,14126,3012.726272701594
