ite,policy_name,devices,category,num_of_completed_tasks(ALL),num_of_failed_tasks(ALL),num_of_uncompleted_tasks(ALL),num_of_failed_tasks_due_network,average_service_time(ALL),average_processing_time(ALL),average_network_delay(ALL),average_cost,num_of_failed_tasks_due_vm_capacity(ALL),num_of_failed_tasks_due_mobility,num_of_completed_tasks(Edge),num_of_failed_tasks(Edge),num_of_uncompleted_tasks(Edge),average_service_time(Edge),average_processing_time(Edge),average_network_delay(Edge),num_of_completed_tasks(Mobile),num_of_failed_tasks(Mobile),num_of_uncompleted_tasks(Mobile),average_service_time(Mobile),average_processing_time(Mobile),average_network_delay(Mobile),average_network_delay(LAN_delay),num_of_failed_tasks_due_network(WLAN),num_of_failed_tasks_due_network(MAN),num_of_failed_tasks_due_network(WAN),num_of_failed_tasks_due_network(GSM),average_overhead(ns)
ite1,EDGE_UTIL_HEURISTIC,200,ALL_APPS_GENERIC,46785,8859,368,0,10.368236491848075,1.7910426211117627,8.577193870736362,0.0,0,1060,0,0,0,0.0,0.0,0.0,0,0,63,0.0,0.0,0.0,8.577193870736362,7799,0,0,0,349.8463266479764
ite1,EDGE_UTIL_HEURISTIC,400,ALL_APPS_GENERIC,77515,48528,819,0,14.42259463002478,2.418438424837902,12.14992711686441,0.39291806020066916,15,3549,0,0,0,0.0,0.0,0.0,930,15,181,8.344675120811914,8.344675120811914,0.0,12.14992711686441,44964,0,0,0,699.8752885919885
ite1,EDGE_UTIL_HEURISTIC,600,ALL_APPS_GENERIC,89154,98933,1408,0,19.359928706342814,5.180365456347651,17.08076883152593,3.5594202898550695,435,6321,0,0,0,0.0,0.0,0.0,15143,435,326,8.196849000598979,8.196849000598979,0.0,17.08076883152593,92177,0,0,0,985.5776688447368
ite1,EDGE_UTIL_HEURISTIC,800,ALL_APPS_GENERIC,121934,127209,1642,0,17.767086238152316,7.318396644275289,16.647944138036568,8.521797658862875,2291,6901,0,0,0,0.0,0.0,0.0,45405,2291,491,8.963662392559876,8.963662392559876,0.0,16.647944138036568,118017,0,0,0,1877.0878451331164
ite1,EDGE_UTIL_HEURISTIC,1000,ALL_APPS_GENERIC,148857,164090,1761,0,15.653179605680412,7.252379329813362,15.436587170284497,9.062193979933111,3234,6975,0,0,0,0.0,0.0,0.0,67847,3234,517,8.075421751676359,8.075421751676359,0.0,15.436587170284497,153881,0,0,0,2585.1368442579733
ite1,EDGE_UTIL_HEURISTIC,1200,ALL_APPS_GENERIC,180373,187765,2128,0,16.20786406858891,9.214631763224324,18.07511951703115,15.13564102564104,9281,7323,0,0,0,0.0,0.0,0.0,110587,9281,818,9.771732491932951,9.771732491932951,0.0,18.07511951703115,171161,0,0,0,2707.9873145396564
ite1,EDGE_UTIL_HEURISTIC,1400,ALL_APPS_GENERIC,210870,225065,2402,0,14.778249373062764,8.797249107012718,17.530245689095636,14.924089823220248,11262,7267,0,0,0,0.0,0.0,0.0,138925,11262,1029,9.093975729140462,9.093975729140462,0.0,17.530245689095636,206536,0,0,0,2651.300177778797
ite1,EDGE_UTIL_HEURISTIC,1600,ALL_APPS_GENERIC,251540,248602,2362,0,13.965837473208582,8.967595405633267,17.565354443918416,17.119439799331097,16469,7165,0,0,0,0.0,0.0,0.0,179964,16469,1008,9.208314259067489,9.208314259067489,0.0,17.565354443918416,224968,0,0,0,3865.0492180220817
ite1,EDGE_UTIL_HEURISTIC,1800,ALL_APPS_GENERIC,306575,262188,2987,0,13.026873234282068,8.948771684601654,16.29343284627547,18.855282422891104,23404,7875,0,0,0,0.0,0.0,0.0,229842,23404,1565,9.131208606865451,9.131208606865451,0.0,16.29343284627547,230909,0,0,0,3159.0403876482824
ite1,EDGE_UTIL_HEURISTIC,2000,ALL_APPS_GENERIC,324610,309101,2908,0,12.749181681715427,8.927763174373757,17.281082467306447,18.59479598662208,25019,7540,0,0,0,0.0,0.0,0.0,252828,25019,1545,9.082611389236515,9.082611389236515,0.0,17.281082467306447,276542,0,0,0,3012.726272701594
